info,room,url,allinfo,unitprice,price,communityName
"江宁,将军大道,举报","3室2厅,高楼层/共11层",https://nj.lianjia.com/ershoufang/103101090217.html,"3室2厅1厨2卫,高楼层 (共11层),121.38㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,有,70年,2017-03-13,商品房,2006-11-17,普通住宅,满五年,非共有,已上传房本照片",27929,,"挪威森林,地图"
"江宁,麒麟镇,举报","2室2厅,中楼层/共11层",https://nj.lianjia.com/ershoufang/103101804172.html,"2室2厅1厨1卫,中楼层 (共11层),85.33㎡,平层,70.56㎡,板楼,南 北,钢混结构,精装,一梯两户,有,70年,2017-10-11,商品房,2014-10-27,普通住宅,满两年,非共有,已上传房本照片",25783,,"东方红郡,地图"
"浦口,江浦街道,举报","2室2厅,高楼层/共6层",https://nj.lianjia.com/ershoufang/103101733408.html,"2室2厅1厨1卫,高楼层 (共6层),79.8㎡,暂无数据,71.55㎡,板楼,西南,钢混结构,精装,一梯两户,暂无数据,70年,2017-09-17,商品房,2012-05-29,普通住宅,满五年,非共有,已上传房本照片",24437,,"城南新村,地图"
"江宁,九龙湖,举报","2室1厅,高楼层/共11层",https://nj.lianjia.com/ershoufang/103101421088.html,"2室1厅1厨1卫,高楼层 (共11层),89.63㎡,暂无数据,75.12㎡,板楼,南,钢混结构,其他,一梯四户,有,70年,2017-06-18,商品房,2012-07-02,普通住宅,满五年,非共有,已上传房本照片",30124,,"南京恒大绿洲,地图"
"江宁,科学园,举报","2室1厅,低楼层/共18层",https://nj.lianjia.com/ershoufang/103101356129.html,"2室1厅1厨1卫,低楼层 (共18层),57.49㎡,平层,44.47㎡,板塔结合,东南,钢混结构,简装,两梯十二户,有,70年,2017-05-29,商品房,2010-08-19,普通住宅,满五年,非共有,已上传房本照片",26092,,"天元瑞沨名苑,地图"
"浦口,桥北,举报","3室2厅,低楼层/共21层",https://nj.lianjia.com/ershoufang/103100814325.html,"3室2厅1厨2卫,低楼层 (共21层),142.84㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯两户,有,70年,2016-12-10,商品房,2011-11-15,普通住宅,满五年,共有,已上传房本照片",20653,,"威尼斯水城第七街区,地图"
"浦口,桥北,举报","3室2厅,低楼层/共9层",https://nj.lianjia.com/ershoufang/103101648197.html,"3室2厅1厨1卫,低楼层 (共9层),92.25㎡,暂无数据,76.7㎡,板塔结合,南 北,钢混结构,精装,一梯两户,有,70年,2017-08-23,商品房,2011-07-29,普通住宅,满五年,共有,已上传房本照片",20380,,"江岸水城,地图"
"鼓楼,宁海路,举报","3室1厅,低楼层/共6层",https://nj.lianjia.com/ershoufang/103101793017.html,"3室1厅1厨1卫,低楼层 (共6层),68.86㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯四户,暂无数据,70年,2017-10-08,房改房,2010-06-04,普通住宅,满五年,共有,已上传房本照片",41534,,"青岛路小区,地图"
"建邺,奥体,举报","3室2厅,高楼层/共11层",https://nj.lianjia.com/ershoufang/103101346551.html,"3室2厅1厨3卫,高楼层 (共11层),160.81㎡,暂无数据,137.32㎡,板楼,南,钢混结构,精装,一梯三户,有,70年,2017-05-26,商品房,2009-12-26,普通住宅,满五年,共有,已上传房本照片",47883,,"银城西堤国际二区,地图"
"栖霞,马群,举报","1室1厅,中楼层/共6层",https://nj.lianjia.com/ershoufang/103101592133.html,"1室1厅1厨1卫,中楼层 (共6层),42㎡,暂无数据,36.33㎡,板楼,南,砖混结构,精装,一梯三户,暂无数据,70年,2017-08-08,经济适用房,2014-09-12,普通住宅,满两年,非共有,已上传房本照片",22620,,"百水芊城秀水坊,地图"
"江宁,九龙湖,举报","2室2厅,低楼层/共16层",https://nj.lianjia.com/ershoufang/103101050176.html,"2室2厅1厨1卫,低楼层 (共16层),88.93㎡,暂无数据,70.2㎡,塔楼,南,钢混结构,精装,两梯四户,有,70年,2017-03-03,商品房,2011-12-30,普通住宅,满五年,共有,已上传房本照片",34634,,"万科金域蓝湾,地图"
"秦淮,月牙湖,举报","3室2厅,中楼层/共7层",https://nj.lianjia.com/ershoufang/103101437488.html,"3室2厅1厨2卫,中楼层 (共7层),103.36㎡,暂无数据,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,暂无数据,70年,2017-06-24,商品房,1999-12-21,普通住宅,满五年,共有,已上传房本照片",32895,,"美林苑,地图"
"江宁,麒麟镇,举报","2室2厅,高楼层/共6层",https://nj.lianjia.com/ershoufang/103101736151.html,"2室2厅1厨1卫,高楼层 (共6层),89.22㎡,暂无数据,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,暂无数据,70年,2017-09-18,商品房,2005-09-01,普通住宅,满五年,非共有,已上传房本照片",19951,,"锦绣花园紫桂园,地图"
"鼓楼,凤凰西街,举报","2室1厅,高楼层/共12层",https://nj.lianjia.com/ershoufang/103101671525.html,"2室1厅1厨1卫,高楼层 (共12层),72.25㎡,暂无数据,58.29㎡,板楼,南 北,钢混结构,其他,一梯两户,有,70年,2017-08-30,商品房,2014-05-05,普通住宅,满两年,非共有,已上传房本照片",60900,,"锦江花苑,地图"
"江宁,百家湖,举报","3室2厅,中楼层/共5层",https://nj.lianjia.com/ershoufang/103100740578.html,"3室2厅1厨2卫,中楼层 (共5层),116㎡,平层,暂无数据,板塔结合,南 西 北,钢混结构,简装,一梯两户,暂无数据,70年,2016-11-15,商品房,2006-03-10,普通住宅,满五年,非共有,已上传房本照片",26638,,"金轮第一城,地图"
"浦口,顶山街道,举报","2室2厅,中楼层/共6层",https://nj.lianjia.com/ershoufang/103101046438.html,"2室2厅1厨1卫,中楼层 (共6层),89.11㎡,平层,78.66㎡,板楼,南,钢混结构,精装,一梯两户,暂无数据,70年,2017-03-02,商品房,2010-11-08,普通住宅,满五年,共有,已上传房本照片",21884,,"盛泉新城,地图"
"建邺,奥体,举报","3室2厅,中楼层/共10层",https://nj.lianjia.com/ershoufang/103101347804.html,"3室2厅1厨2卫,中楼层 (共10层),133.32㎡,暂无数据,112.69㎡,板塔结合,南 北,钢混结构,精装,一梯两户,有,70年,2017-05-26,商品房,2008-11-17,普通住宅,满五年,共有,已上传房本照片",41255,,"滨江奥城静思苑,地图"
"鼓楼,热河南路,举报","2室2厅,中楼层/共53层",https://nj.lianjia.com/ershoufang/103101214366.html,"2室2厅1厨1卫,中楼层 (共53层),127.6㎡,平层,95.09㎡,板塔结合,西 北,钢混结构,精装,三梯四户,有,70年,2017-04-16,商品房,2013-07-15,普通住宅,满两年,共有,已上传房本照片",31348,,"世茂滨江新城,地图"
"玄武,卫岗,举报","3室2厅,低楼层/共7层",https://nj.lianjia.com/ershoufang/103101724283.html,"3室2厅1厨1卫,低楼层 (共7层),86.43㎡,平层,76.35㎡,板楼,南 北,钢混结构,精装,一梯两户,有,70年,2017-09-14,房改房,2012-07-04,普通住宅,满五年,共有,已上传房本照片",43967,,"康定里,地图"
"玄武,月苑,举报","2室2厅,高楼层/共11层",https://nj.lianjia.com/ershoufang/103101550185.html,"2室2厅1厨1卫,高楼层 (共11层),97.91㎡,暂无数据,暂无数据,板楼,南,钢混结构,精装,一梯两户,有,70年,2017-07-27,房改房,2003-07-24,普通住宅,满五年,非共有,已上传房本照片",31152,,"阳光聚宝山庄,地图"
"玄武,月苑,举报","2室2厅,中楼层/共18层",https://nj.lianjia.com/ershoufang/103101505588.html,"2室2厅1厨1卫,中楼层 (共18层),84.95㎡,暂无数据,69.34㎡,板楼,南 北,钢混结构,其他,两梯五户,有,70年,2017-07-14,商品房,2010-10-25,普通住宅,满五年,非共有,已上传房本照片",32372,,"墨香山庄,地图"
